c,abd,ant
2,5.637281751,3.942210161
1,4.381503767,1.9494043
2,4.710118507,4.105084387
1,1.697481685,4.16251638
2,4.177045271,5.30858901
1,0.998997149,3.853231038
1,2.957480752,3.928640617
1,4.103274717,3.152702501
2,4.17923082,6.501067117
1,0.847260409,5.56054066
2,3.863246003,4.795355856
1,3.355329835,3.752718552
2,4.021864164,6.58474604
1,1.858665244,5.111138387
2,4.864715956,6.239197312
1,2.140254126,5.309398269
2,4.743084851,4.647671764
1,1.640478249,2.915850446
2,4.420134731,4.519897978
1,3.86033014,4.803829506
2,4.430826856,4.92088026
2,3.799219332,4.425051882
1,3.969560168,3.287870491
2,4.627214897,6.479602188
1,2.226725463,3.677447452
2,4.272760698,6.741194113
2,3.648321501,5.877338585
1,1.766525071,3.893495835
2,4.469455081,5.82247902
1,1.654720246,3.031048363
2,5.126846717,5.632043864
1,4.638758712,3.561497038
2,4.831896587,5.056918501
1,2.050907321,3.551514376
2,6.768603335,6.328996787
2,6.425536916,4.768924047
2,4.887317328,6.45164929
1,0.41834653,3.503439147
2,4.297874211,4.125679584
2,5.096862814,5.720004242
1,2.898891201,3.945737681
2,5.421403403,5.779689032
1,3.510597774,2.571901135
2,3.473830987,4.010335195
1,2.244951156,1.491541132
2,6.65621664,6.214833267
2,5.522530455,5.310491124
2,4.821456205,5.19953532
1,4.335828323,1.512359253
2,5.712524712,6.731998271
1,2.8696092,2.877284171
2,5.104985207,4.660772489
2,4.873881295,6.572935286
1,3.10514718,3.290317047
1,1.488628173,5.691274536
2,4.240450202,4.518371821
1,2.502750273,4.023160498
2,3.64301621,5.244343576
2,4.106191084,6.816984831
1,2.616438852,4.364396602
2,5.523983724,4.014406011
1,2.153626445,3.205303298
2,3.010463614,4.75304178
2,4.065793468,5.485333734
1,2.93338191,5.171130178
2,5.536433357,4.535213406
1,4.058577046,2.954674416
2,3.56322083,6.156527918
1,3.478450425,3.523455926
2,3.744578225,5.440237903
2,5.430956309,5.349709904
1,3.485827492,4.378876978
2,4.692111633,4.907481539
1,2.334041026,4.114499007
2,5.109533864,6.73421278
2,5.686247513,4.785136403
1,1.972132592,1.615843713
2,5.559506144,7.145851574
1,1.88847694,2.316507166
2,3.819860218,4.631541266
2,4.553960067,4.994710373
1,4.163462889,2.879537832
1,2.821983919,3.652818149
2,4.280674255,6.027698567
1,2.399367997,2.953505852
2,5.274592405,5.909586786
1,2.737771398,4.493433345
2,3.720714034,2.638387966
1,2.573728069,3.448579924
2,3.312826137,6.704956874
1,1.628731752,3.3108974
2,3.132718729,4.43354814
1,3.740220973,5.133090708
2,5.038754212,3.689321885
2,3.838726837,8.503171871
1,0.917556888,3.693011772
2,2.999964049,5.162477478
1,0.887995284,2.674677575
2,4.610015208,6.973700374
2,3.991584011,7.420200154
1,1.401322044,4.609301691
2,4.032382618,5.726688976
1,2.97085607,3.749812214
2,4.633002516,6.02933629
1,2.400104106,3.398123602
1,2.031280573,1.635423169
2,5.156727813,6.406959176
1,4.093326425,3.685067033
2,3.897506488,5.165029893
2,5.523804425,5.299351744
2,4.847496509,6.146359733
2,4.042118298,5.4452079
1,1.193653486,4.408591269
2,4.320953887,7.044715446
1,3.887917877,3.521835457
2,4.906956494,5.455086301
1,2.231713411,2.735520483
2,3.448330508,4.967005131
1,0.745005285,4.049422758
1,1.23552817,3.176130883
2,4.748864269,6.680542147
1,1.058928698,4.186298808
1,3.532453918,3.250589447
2,3.819428462,5.252994506
1,3.628772917,3.586010812
2,4.653617127,4.683090225
1,1.97469286,3.954136617
2,3.092875401,6.165357567
2,4.615283461,5.009837948
1,2.563541958,3.450700032
2,3.284546749,7.994797597
1,1.742783789,5.401145422
1,1.165534166,3.93484849
2,4.740846841,5.997393464
1,1.508549319,2.688091799
2,4.022753163,6.862511155
2,5.906344672,5.495587919
1,1.756678519,3.88734645
2,4.675253709,7.224870817
1,2.294130016,2.199212122
2,3.408876849,4.706227537
1,1.862530414,3.736392164
2,4.365042397,4.551563535
1,1.939501775,0.911092573
2,4.4900501,5.482811285
1,2.786434875,1.725485533
2,3.76741598,6.546328418
1,2.356989434,2.658616492
2,5.061617344,5.731249077
1,2.725348963,4.317230964
