c,abd,ant
1,0.657618956,3.841928307
1,0.46924908,2.998512625
1,2.526268285,2.965679451
1,0.886963654,3.682628559
1,2.637169417,3.126621298
1,4.153993369,3.0270131
1,3.347230946,3.049512295
1,0.0005054,3.764428537
1,2.685207042,3.701813057
1,2.213413762,3.440138855
1,2.284203295,2.794843337
1,1.378005915,3.759778444
1,2.384956734,3.314392231
1,2.713474315,3.603525634
1,1.610143647,4.511740027
1,2.549773238,3.806434924
1,3.055670689,2.950596351
1,1.290637317,3.83666318
1,3.818049062,3.240613137
1,0.421357999,2.354221135
1,1.803614363,2.544004515
1,2.991804056,3.676832555
1,1.580553503,1.484380247
1,2.974218964,1.994567682
1,0.486617664,3.626039641
1,2.975252477,3.771212474
1,2.019418193,2.554783609
1,0.902416191,2.755276532
1,3.310586753,1.774495811
1,1.352093711,3.12272614
1,4.479246212,2.610218776
1,1.495815335,2.455934705
1,0.056031215,2.900559016
1,2.50514263,4.415395378
1,1.667483125,3.219984482
1,2.87913196,0.978779964
1,1.002442102,2.870507328
1,2.500094864,2.859345606
1,2.753466482,4.518898999
1,2.268690397,3.970689436
1,0.836123634,4.061345505
1,3.535124547,3.38311497
1,2.804565995,5.821906726
1,0.912934035,3.187123249
1,2.601879732,2.266894966
1,2.345047607,2.53647635
1,2.231208162,3.48719584
1,2.971801297,3.979243239
2,3.685990979,3.777010265
2,3.925756398,4.751307423
2,4.242660067,4.20289867
2,5.182640895,6.112793061
2,6.129306645,4.263341724
2,4.458444137,4.535890152
2,5.830135077,3.971792807
2,1.51360442,2.649051146
2,3.844215118,7.454331217
2,5.170822538,5.627142086
2,4.252575,5.077071842
2,5.258125174,5.068520181
2,5.514844839,2.58804947
2,3.501393472,4.200777123
2,4.299407915,4.584633946
2,3.344532914,6.89739478
2,5.359877319,3.702770212
2,4.073083815,3.782913328
2,3.288831844,5.265533997
2,4.696123029,5.351969979
2,5.105219555,5.156852644
2,6.426018864,3.024797671
2,6.044749051,4.710678193
2,4.399791196,5.57866475
2,5.419682464,4.040702
2,5.850744549,5.138970826
2,3.740105832,6.095394356
2,5.035207705,4.717074023
2,4.639364833,4.076536403
2,5.384755359,5.172495792
2,4.780553821,4.979401127
2,5.143165107,4.063164622
2,5.391883265,4.957173523
2,4.589259911,4.475874134
2,3.624102937,6.180387356
2,4.611578986,5.505888826
2,3.685275045,5.17439968
2,4.649405675,6.041003929
2,4.9979247,5.733395211
2,3.968965348,3.96279621
2,2.860261307,4.760878528
2,4.596208358,4.974927049
2,4.132478325,7.023700573
2,3.293299346,3.898428001
2,4.653078036,3.796461073
2,3.192646905,4.604734469
2,3.800158055,5.914020444
2,4.726339178,6.065197114
2,3.49623179,4.570398861
2,3.392872704,5.587471955
2,2.286909842,6.437490326
2,3.856277497,4.969427778
